name,path,url,tags
rotting-oranges,leetcode\array\rotting-oranges.cpp,https://leetcode.com/problems/rotting-oranges/,;leetcode;array
shuffle-an-array,leetcode\array\shuffle-an-array.cpp,https://leetcode.com/problems/shuffle-an-array/,;leetcode;array
counting-bits,leetcode\bit_manipulation\counting-bits.cpp,https://leetcode.com/problems/counting-bits/,;leetcode;bit_manipulation
hamming-distance,leetcode\bit_manipulation\hamming-distance.cpp,https://leetcode.com/problems/hamming-distance/,;leetcode;bit_manipulation
sum-of-two-integers,leetcode\bit_manipulation\sum-of-two-integers.cpp,https://leetcode.com/problems/sum-of-two-integers/,;leetcode;bit_manipulation
building-h2o,leetcode\concurrency\building-h2o.cpp,https://leetcode.com/problems/building-h2o/,;leetcode;concurrency
burst-balloons,leetcode\dp\burst-balloons.cpp,https://leetcode.com/problems/burst-balloons/,;leetcode;dp
check-if-an-original-string-exists-given-two-encoded-strings,leetcode\dp\check-if-an-original-string-exists-given-two-encoded-strings.cpp,https://leetcode.com/problems/check-if-an-original-string-exists-given-two-encoded-strings/,;leetcode;dp
combination-sum-iii,leetcode\dp\combination-sum-iii.cpp,https://leetcode.com/problems/combination-sum-iii/,;leetcode;dp
longest-subarray-of-1s-after-deleting-one-element,leetcode\dp\longest-subarray-of-1s-after-deleting-one-element.cpp,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/,;leetcode;dp
maximum-non-negative-product-in-a-matrix,leetcode\dp\maximum-non-negative-product-in-a-matrix.cpp,https://leetcode.com/problems/maximum-non-negative-product-in-a-matrix/,;leetcode;dp
minimum-ascii-delete-sum-for-two-strings,leetcode\dp\minimum-ascii-delete-sum-for-two-strings.cpp,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/,;leetcode;dp
minimum-cost-tree-from-leaf-values,leetcode\dp\minimum-cost-tree-from-leaf-values.cpp,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values/,;leetcode;dp
minimum-falling-path-sum,leetcode\dp\minimum-falling-path-sum.cpp,https://leetcode.com/problems/minimum-falling-path-sum/,;leetcode;dp
optimal-division,leetcode\dp\optimal-division.cpp,https://leetcode.com/problems/optimal-division/,;leetcode;dp
pyramid-transition-matrix,leetcode\dp\pyramid-transition-matrix.cpp,https://leetcode.com/problems/pyramid-transition-matrix/,;leetcode;dp
shopping-offers,leetcode\dp\shopping-offers.cpp,https://leetcode.com/problems/shopping-offers/,;leetcode;dp
unique-paths-ii,leetcode\dp\unique-paths-ii.cpp,https://leetcode.com/problems/unique-paths-ii/,;leetcode;dp
unique-paths,leetcode\dp\unique-paths.cpp,https://leetcode.com/problems/unique-paths/,;leetcode;dp
minimum-time-visiting-all-points,leetcode\geometry\minimum-time-visiting-all-points.cpp,https://leetcode.com/problems/minimum-time-visiting-all-points/,;leetcode;geometry
127_word_ladder,leetcode\graph\127_word_ladder.cpp,https://leetcode.com/problems/word-ladder/,;leetcode;graph
239_keys_and_rooms,leetcode\graph\239_keys_and_rooms.cpp,https://leetcode.com/explore/learn/card/queue-stack/239/conclusion/1391/,;leetcode;graph
find-largest-value-in-each-tree-row,leetcode\graph\find-largest-value-in-each-tree-row.cpp,https://leetcode.com/problems/find-largest-value-in-each-tree-row/,;leetcode;graph
minimize-malware-spread,leetcode\graph\minimize-malware-spread.cpp,https://leetcode.com/problems/minimize-malware-spread/,;leetcode;graph
path-with-maximum-probability,leetcode\graph\path-with-maximum-probability.cpp,https://leetcode.com/problems/path-with-maximum-probability/,;leetcode;graph
array-of-doubled-pairs,leetcode\greedy\array-of-doubled-pairs.cpp,https://leetcode.com/problems/array-of-doubled-pairs/,;leetcode;greedy
least-number-of-unique-integers-after-k-removals,leetcode\greedy\least-number-of-unique-integers-after-k-removals.cpp,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/,;leetcode;greedy
minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,leetcode\greedy\minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits.cpp,https://leetcode.com/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits/,;leetcode;greedy
flatten-a-multilevel-doubly-linked-list,leetcode\linked_list\flatten-a-multilevel-doubly-linked-list.cpp,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/,;leetcode;linked_list
build-array-from-permutation,leetcode\misc\build-array-from-permutation.cpp,https://leetcode.com/problems/build-array-from-permutation/,;leetcode;misc
closest-divisors,leetcode\misc\closest-divisors.cpp,https://leetcode.com/problems/closest-divisors/,;leetcode;misc
defuse-the-bomb,leetcode\misc\defuse-the-bomb.cpp,https://leetcode.com/problems/defuse-the-bomb/,;leetcode;misc
find-kth-largest-xor-coordinate-value,leetcode\misc\find-kth-largest-xor-coordinate-value.cpp,https://leetcode.com/problems/find-kth-largest-xor-coordinate-value/,;leetcode;misc
find-three-consecutive-integers-that-sum-to-a-given-number,leetcode\misc\find-three-consecutive-integers-that-sum-to-a-given-number.cpp,https://leetcode.com/problems/find-three-consecutive-integers-that-sum-to-a-given-number/,;leetcode;misc
four-divisors,leetcode\misc\four-divisors.cpp,https://leetcode.com/problems/four-divisors/,;leetcode;misc
minimum-deletions-to-make-array-divisible,leetcode\misc\minimum-deletions-to-make-array-divisible.cpp,https://leetcode.com/problems/minimum-deletions-to-make-array-divisible/,;leetcode;misc
number-of-digit-one,leetcode\misc\number-of-digit-one.cpp,https://leetcode.com/problems/number-of-digit-one/,;leetcode;misc
number-of-people-aware-of-a-secret,leetcode\misc\number-of-people-aware-of-a-secret.cpp,https://leetcode.com/problems/number-of-people-aware-of-a-secret/,;leetcode;misc
pairs-of-songs-with-total-durations-divisible-by-60,leetcode\misc\pairs-of-songs-with-total-durations-divisible-by-60.cpp,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/,;leetcode;misc
powx-n,leetcode\misc\powx-n.cpp,https://leetcode.com/problems/powx-n/,;leetcode;misc
self-dividing-numbers,leetcode\misc\self-dividing-numbers.cpp,https://leetcode.com/problems/self-dividing-numbers/,;leetcode;misc
sum-of-digits-in-base-k,leetcode\misc\sum-of-digits-in-base-k.cpp,https://leetcode.com/problems/sum-of-digits-in-base-k/,;leetcode;misc
super-pow,leetcode\misc\super-pow.cpp,https://leetcode.com/problems/super-pow/,;leetcode;misc
the-kth-factor-of-n,leetcode\misc\the-kth-factor-of-n.cpp,https://leetcode.com/problems/the-kth-factor-of-n/,;leetcode;misc
capacity-to-ship-packages-within-d-days,leetcode\search\capacity-to-ship-packages-within-d-days.cpp,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,;leetcode;search
guess-number-higher-or-lower,leetcode\search\guess-number-higher-or-lower.cpp,https://leetcode.com/problems/guess-number-higher-or-lower/,;leetcode;search
sqrtx,leetcode\search\sqrtx.cpp,https://leetcode.com/problems/sqrtx/,Math;Binary Search;leetcode;search
tuple-with-same-product,leetcode\search\tuple-with-same-product.cpp,https://leetcode.com/problems/tuple-with-same-product/,;leetcode;search
200_hashmap,leetcode\set\200_hashmap.cpp,nclude <iostream>,nclude <forward_list>;leetcode;set
200_hashset,leetcode\set\200_hashset.cpp,nclude <iostream>,nclude <forward_list>;leetcode;set
avoid-flood-in-the-city,leetcode\set\avoid-flood-in-the-city.cpp,https://leetcode.com/problems/avoid-flood-in-the-city/,;leetcode;set
most-frequent-number-following-key-in-an-array,leetcode\set\most-frequent-number-following-key-in-an-array.cpp,https://leetcode.com/problems/most-frequent-number-following-key-in-an-array/,;leetcode;set
my-calendar-iii,leetcode\set\my-calendar-iii.cpp,https://leetcode.com/problems/my-calendar-iii/,;leetcode;set
tweet-counts-per-frequency,leetcode\set\tweet-counts-per-frequency.cpp,https://leetcode.com/problems/tweet-counts-per-frequency/,;leetcode;set
apply-discount-to-prices,leetcode\string\apply-discount-to-prices.cpp,https://leetcode.com/problems/apply-discount-to-prices/,;leetcode;string
bulls-and-cows,leetcode\string\bulls-and-cows.cpp,https://leetcode.com/problems/bulls-and-cows/,;leetcode;string
check-if-two-string-arrays-are-equivalent,leetcode\string\check-if-two-string-arrays-are-equivalent.cpp,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/submissions/,;leetcode;string
goat-latin,leetcode\string\goat-latin.cpp,https://leetcode.com/problems/goat-latin/,;leetcode;string
html-entity-parser,leetcode\string\html-entity-parser.cpp,https://leetcode.com/problems/html-entity-parser/,;leetcode;string
largest-substring-between-two-equal-characters,leetcode\string\largest-substring-between-two-equal-characters.cpp,https://leetcode.com/problems/largest-substring-between-two-equal-characters/,;leetcode;string
longest-ideal-subsequence,leetcode\string\longest-ideal-subsequence.cpp,https://leetcode.com/problems/longest-ideal-subsequence/,;leetcode;string
longest-uncommon-subsequence-i,leetcode\string\longest-uncommon-subsequence-i.cpp,https://leetcode.com/problems/longest-uncommon-subsequence-i/,;leetcode;string
maximum-number-of-words-found-in-sentences,leetcode\string\maximum-number-of-words-found-in-sentences.cpp,https://leetcode.com/problems/maximum-number-of-words-found-in-sentences/,;leetcode;string
minimum-amount-of-time-to-collect-garbage,leetcode\string\minimum-amount-of-time-to-collect-garbage.cpp,https://leetcode.com/problems/minimum-amount-of-time-to-collect-garbage/,;leetcode;string
number-of-days-between-two-dates,leetcode\string\number-of-days-between-two-dates.cpp,https://leetcode.com/problems/number-of-days-between-two-dates/,;leetcode;string
remove-all-adjacent-duplicates-in-string,leetcode\string\remove-all-adjacent-duplicates-in-string.cpp,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/,;leetcode;string
remove-colored-pieces-if-both-neighbors-are-the-same-color,leetcode\string\remove-colored-pieces-if-both-neighbors-are-the-same-color.cpp,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color/,;leetcode;string
repeated-substring-pattern,leetcode\string\repeated-substring-pattern.cpp,https://leetcode.com/problems/repeated-substring-pattern/,;leetcode;string
shuffle-string,leetcode\string\shuffle-string.cpp,https://leetcode.com/problems/shuffle-string/,;leetcode;string
snapshot-array,leetcode\string\snapshot-array.cpp,https://leetcode.com/problems/snapshot-array,;leetcode;string
splitting-a-string-into-descending-consecutive-values,leetcode\string\splitting-a-string-into-descending-consecutive-values.cpp,https://leetcode.com/problems/splitting-a-string-into-descending-consecutive-values/,;leetcode;string
string-compression,leetcode\string\string-compression.cpp,https://leetcode.com/problems/string-compression/,;leetcode;string
101_symmetric_tree,leetcode\tree\101_symmetric_tree.cpp,https://leetcode.com/problems/symmetric-tree/,;leetcode;tree
102_binary_tree_level_order_traversal,leetcode\tree\102_binary_tree_level_order_traversal.cpp,https://leetcode.com/problems/binary-tree-level-order-traversal/,;leetcode;tree
104_maximum_depth_of_binary_tree,leetcode\tree\104_maximum_depth_of_binary_tree.cpp,https://leetcode.com/problems/maximum-depth-of-binary-tree/,;leetcode;tree
105_binary-tree-from-preorder-and-inorder-traversal,leetcode\tree\105_binary-tree-from-preorder-and-inorder-traversal.cpp,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,;leetcode;tree
106_binary-tree-from-inorder-and-postorder-traversal,leetcode\tree\106_binary-tree-from-inorder-and-postorder-traversal.cpp,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,;leetcode;tree
112_path_sum,leetcode\tree\112_path_sum.cpp,https://leetcode.com/problems/path-sum/,;leetcode;tree
144_binary_tree_preorder_traversal,leetcode\tree\144_binary_tree_preorder_traversal.cpp,https://leetcode.com/problems/binary-tree-preorder-traversal/,;leetcode;tree
145_binary_tree_postorder_traversal,leetcode\tree\145_binary_tree_postorder_traversal.cpp,https://leetcode.com/problems/binary-tree-postorder-traversal/,;leetcode;tree
199_serialize_binary_tree,leetcode\tree\199_serialize_binary_tree.cpp,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,string;depth-first-search;breadth-first-search;design;binary tree;leetcode;tree
94_binary_tree_inorder_traversal,leetcode\tree\94_binary_tree_inorder_traversal.cpp,https://leetcode.com/problems/binary-tree-inorder-traversal/,;leetcode;tree
add-one-row-to-tree,leetcode\tree\add-one-row-to-tree.cpp,https://leetcode.com/problems/add-one-row-to-tree/,;leetcode;tree
all-elements-in-two-binary-search-trees,leetcode\tree\all-elements-in-two-binary-search-trees.cpp,https://leetcode.com/problems/all-elements-in-two-binary-search-trees/,;leetcode;tree
binary-search-tree-iterator,leetcode\tree\binary-search-tree-iterator.cpp,https://leetcode.com/problems/binary-search-tree-iterator/,;leetcode;tree
binary-tree-maximum-path-sum,leetcode\tree\binary-tree-maximum-path-sum.cpp,https://leetcode.com/problems/binary-tree-maximum-path-sum/,;leetcode;tree
binary-tree-pruning,leetcode\tree\binary-tree-pruning.cpp,https://leetcode.com/problems/binary-tree-pruning/,;leetcode;tree
binary-tree-right-side-view,leetcode\tree\binary-tree-right-side-view.cpp,https://leetcode.com/problems/binary-tree-right-side-view/,;leetcode;tree
convert-bst-to-greater-tree,leetcode\tree\convert-bst-to-greater-tree.cpp,https://leetcode.com/problems/convert-bst-to-greater-tree/,;leetcode;tree
convert-sorted-array-to-binary-search-tree,leetcode\tree\convert-sorted-array-to-binary-search-tree.cpp,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,;leetcode;tree
convert-sorted-list-to-binary-search-tree,leetcode\tree\convert-sorted-list-to-binary-search-tree.cpp,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,;leetcode;tree
count-good-nodes-in-binary-tree,leetcode\tree\count-good-nodes-in-binary-tree.cpp,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,;leetcode;tree
cousins-in-binary-tree,leetcode\tree\cousins-in-binary-tree.cpp,https://leetcode.com/problems/cousins-in-binary-tree/,;leetcode;tree
create-binary-tree-from-descriptions,leetcode\tree\create-binary-tree-from-descriptions.cpp,https://leetcode.com/problems/create-binary-tree-from-descriptions/,;leetcode;tree
delete-leaves-with-a-given-value,leetcode\tree\delete-leaves-with-a-given-value.cpp,https://leetcode.com/problems/delete-leaves-with-a-given-value/,;leetcode;tree
diameter-of-binary-tree,leetcode\tree\diameter-of-binary-tree.cpp,https://leetcode.com/problems/diameter-of-binary-tree/,;leetcode;tree
even-odd-tree,leetcode\tree\even-odd-tree.cpp,https://leetcode.com/problems/even-odd-tree/,;leetcode;tree
find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree,leetcode\tree\find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree.cpp,https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree/,;leetcode;tree
find-mode-in-binary-search-tree,leetcode\tree\find-mode-in-binary-search-tree.cpp,https://leetcode.com/problems/find-mode-in-binary-search-tree/,;leetcode;tree
flatten-binary-tree-to-linked-list,leetcode\tree\flatten-binary-tree-to-linked-list.cpp,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,;leetcode;tree
house-robber-iii,leetcode\tree\house-robber-iii.cpp,https://leetcode.com/problems/house-robber-iii/,;leetcode;tree
insert-into-a-binary-search-tree,leetcode\tree\insert-into-a-binary-search-tree.cpp,https://leetcode.com/problems/insert-into-a-binary-search-tree/,;leetcode;tree
insufficient-nodes-in-root-to-leaf-paths,leetcode\tree\insufficient-nodes-in-root-to-leaf-paths.cpp,https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths/,;leetcode;tree
invert-binary-tree,leetcode\tree\invert-binary-tree.cpp,https://leetcode.com/problems/invert-binary-tree/,;leetcode;tree
kth-largest-element-in-a-stream,leetcode\tree\kth-largest-element-in-a-stream.cpp,https://leetcode.com/problems/kth-largest-element-in-a-stream/,;leetcode;tree
kth-smallest-element-in-a-bst,leetcode\tree\kth-smallest-element-in-a-bst.cpp,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,;leetcode;tree
largest-number-after-digit-swaps-by-parity,leetcode\tree\largest-number-after-digit-swaps-by-parity.cpp,https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity/,;leetcode;tree
leaf-similar-trees,leetcode\tree\leaf-similar-trees.cpp,https://leetcode.com/problems/leaf-similar-trees/,;leetcode;tree
longest-path-with-different-adjacent-characters,leetcode\tree\longest-path-with-different-adjacent-characters.cpp,https://leetcode.com/problems/longest-path-with-different-adjacent-characters/,;leetcode;tree
longest-univalue-path,leetcode\tree\longest-univalue-path.cpp,https://leetcode.com/problems/longest-univalue-path/,;leetcode;tree
lowest-common-ancestor-of-deepest-leaves,leetcode\tree\lowest-common-ancestor-of-deepest-leaves.cpp,https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves/,;leetcode;tree
maximum-binary-tree-ii,leetcode\tree\maximum-binary-tree-ii.cpp,https://leetcode.com/problems/maximum-binary-tree-ii/,;leetcode;tree
maximum-difference-between-node-and-ancestor,leetcode\tree\maximum-difference-between-node-and-ancestor.cpp,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/,;leetcode;tree
maximum-level-sum-of-a-binary-tree,leetcode\tree\maximum-level-sum-of-a-binary-tree.cpp,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree/,;leetcode;tree
merge-two-binary-trees,leetcode\tree\merge-two-binary-trees.cpp,https://leetcode.com/problems/merge-two-binary-trees/,;leetcode;tree
most-frequent-subtree-sum,leetcode\tree\most-frequent-subtree-sum.cpp,https://leetcode.com/problems/most-frequent-subtree-sum/,;leetcode;tree
number-of-good-leaf-nodes-pairs,leetcode\tree\number-of-good-leaf-nodes-pairs.cpp,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs/,depth-first-search;breadth-first-search;leetcode;tree
operations-on-tree,leetcode\tree\operations-on-tree.cpp,https://leetcode.com/problems/operations-on-tree/,;leetcode;tree
print-binary-tree,leetcode\tree\print-binary-tree.cpp,https://leetcode.com/problems/print-binary-tree/,;leetcode;tree
same-tree,leetcode\tree\same-tree.cpp,https://leetcode.com/problems/same-tree/,;leetcode;tree
search-in-a-binary-search-tree,leetcode\tree\search-in-a-binary-search-tree.cpp,https://leetcode.com/problems/search-in-a-binary-search-tree/,;leetcode;tree
serialize-and-deserialize-bst,leetcode\tree\serialize-and-deserialize-bst.cpp,https://leetcode.com/problems/serialize-and-deserialize-bst/,;leetcode;tree
smallest-string-starting-from-leaf,leetcode\tree\smallest-string-starting-from-leaf.cpp,https://leetcode.com/problems/smallest-string-starting-from-leaf/,;leetcode;tree
smallest-subtree-with-all-the-deepest-nodes,leetcode\tree\smallest-subtree-with-all-the-deepest-nodes.cpp,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/,;leetcode;tree
step-by-step-directions-from-a-binary-tree-node-to-another,leetcode\tree\step-by-step-directions-from-a-binary-tree-node-to-another.cpp,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another/,;leetcode;tree
subtree-of-another-tree,leetcode\tree\subtree-of-another-tree.cpp,https://leetcode.com/problems/subtree-of-another-tree/,;leetcode;tree
sum-root-to-leaf-numbers,leetcode\tree\sum-root-to-leaf-numbers.cpp,https://leetcode.com/problems/sum-root-to-leaf-numbers/,;leetcode;tree
throne-inheritance,leetcode\tree\throne-inheritance.cpp,https://leetcode.com/problems/throne-inheritance/,;leetcode;tree
trim-a-binary-search-tree,leetcode\tree\trim-a-binary-search-tree.cpp,https://leetcode.com/problems/trim-a-binary-search-tree/,;leetcode;tree
two-sum-iv-input-is-a-bst,leetcode\tree\two-sum-iv-input-is-a-bst.cpp,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,;leetcode;tree
unique-binary-search-trees-ii,leetcode\tree\unique-binary-search-trees-ii.cpp,https://leetcode.com/problems/unique-binary-search-trees-ii/,;leetcode;tree
unique-binary-search-trees,leetcode\tree\unique-binary-search-trees.cpp,https://leetcode.com/problems/unique-binary-search-trees/,;leetcode;tree
vertical-order-traversal-of-a-binary-tree,leetcode\tree\vertical-order-traversal-of-a-binary-tree.cpp,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,;leetcode;tree
